"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","CPS Architecture and Layers","MING Stack Components and Protocols","Key Findings and Challenges"
"On Premises IIoT Architecture for Capturing, Storing and Visualizing Production Data","https://scispace.com/paper/on-premises-iiot-architecture-for-capturing-storing-and-321bn36zvo","2023","Proceedings Article","","Fabian Hensler
Alexander Jesser
Heinz Frank
Nico Strebe
Marius Kappler
Steffen Mütsch","10.1109/iceee59925.2023.00039","","- **Relevance Score:** 20/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MING stack for generic IIoT, provides detailed architecture and performance metrics, but lacks renewable‑energy learning‑factory focus, surveys, and open‑source releases.","In this paper an automated system for production data acquisition, storage and analysis is proposed. It covers the structure and a test of the entire data path consisting of machines, data broker, database and visualization software. Here, unlike other solutions, the actual data source in the production process is variable and not limited to a specific protocol or connector. To achieve this, a locally available gateway running the software Node-RED is used, to receive the data from the different machines and forward it to a central server using MQTT, for example. On this server, the data is stored in the time series database InfluxDB and is consequently available for analysis via Grafana. A particular focus lies on the independent software components, which can be easily exchanged and combined in other ways. Thus, choosing this software means that you won't be affected by the vendor lock-in that is common in the market. Security wise each software component can be hosted on premises, which is a deliberate move away from the cloud solutions that are common in many places. In addition to the structure of the described system, this paper also deals with the performance in terms of writing data to or retrieving data from the database compared to other solutions. Moreover the latency of different approaches in the system is considered.","The paper proposes an on-premises IIoT architecture for capturing, storing, and visualizing production data. It describes a data path consisting of machines, a data broker, a database (InfluxDB), and visualization software (Grafana). A locally available gateway running Node-RED receives data and forwards it via MQTT to a central server. This architecture emphasizes independent software components and on-premises hosting, moving away from cloud solutions and vendor lock-in.","Node-RED is used as a locally available gateway. MQTT is used for forwarding data to a central server. InfluxDB stores the data, and Grafana is used for visualization and analysis. All software components can be hosted on premises, moving away from cloud solutions. The actual data source is variable, not limited to a specific protocol.","The paper proposes an on-premises IIoT architecture for capturing, storing, and visualizing production data, emphasizing independent, exchangeable software components to avoid vendor lock-in. A key finding is the system's performance in data writing/retrieval and latency of different approaches. A main challenge addressed is moving away from common cloud solutions by hosting all components on premises, focusing on security. The architecture allows variable data sources, not limited to specific protocols."
"A LoRaWAN Network Architecture with MQTT2MULTICAST","https://scispace.com/paper/a-lorawan-network-architecture-with-mqtt2multicast-10mqcekl","2022","Journal Article","Electronics","Jorge Navarro-Ortiz
Natalia Chinchilla-Romero
Felix Delgado-Ferro
Juan J. Ramos-Munoz","10.3390/electronics11060872","https://scispace.com/pdf/a-lorawan-network-architecture-with-mqtt2multicast-10mqcekl.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Highly Relevant: Provides detailed technical architecture of MQTT‑InfluxDB‑Grafana integration. Somewhat Relevant: Implements MING components (no Node‑RED) and prototype, but not in renewable‑energy learning factories. Others not addressed.","In this work, an architecture for IoT networks oriented towards environmental sustainability is presented. Due to the suitability of its characteristics in terms of coverage, power and support of a large number of devices, an enhanced LoRaWAN network has been chosen as the basis for this proposal. The architecture is completed with the virtualization of the different LoRaWAN network entities and the usage of a software-defined network for their interconnection. The publication and subscription to environmental data is carried out by using the MQTT protocol. MQTT has been optimized thanks to the use of the SDN network and the use of edge computing resources, which allows multicasting of published data. Thanks to our developed MQTT2MULTICAST protocol, latency is improved by approx. 90% and the traffic load within the SDN network is reduced by 55%. An scalability analysis shows that this solution is able to support tens of thousands of LoRaWAN gateways. The proposed architecture has been implemented using commercial equipment as a proof of concept.","The proposed IoT network architecture is based on an enhanced LoRaWAN network, integrated with Software Defined Networking (SDN) and edge computing paradigms. It features a radio access network (LoRaWAN) and a backbone network. Key components include MQTT proxies at edge nodes, network and application servers, and an AI platform. The architecture emphasizes SDN for communication and MQTT for data distribution, with an MQTT2MULTICAST protocol for optimization.","The paper utilizes MQTT for data publication/subscription, optimizing it with MQTT2MULTICAST over UDP for multicast. InfluxDB stores data, and Grafana visualizes it. LoRaWAN is the radio access network. Components are deployed as containers on edge nodes (MQTT proxies, LoRaWAN servers) and an SDN controller (MQTT2MULTICAST server, multicast routing). TCP is also mentioned. Node-RED is not addressed.","The paper presents an IoT network architecture using LoRaWAN, SDN, and edge computing, enhancing MQTT with a custom protocol (MQTT2MULTICAST). This reduces latency by approximately 90% and SDN traffic by 55%, supporting tens of thousands of LoRaWAN gateways. A key challenge is the computational cost for generating multicast routes, especially for large networks, requiring optimization for real-time deployment. The solution focuses on specific optimizations within a controlled SDN environment."
"Low-Cost Industrial IoT System for Wireless Monitoring of Electric Motors Condition","https://scispace.com/paper/low-cost-industrial-iot-system-for-wireless-monitoring-of-26hvn1jb","2022","Journal Article","Mobile Networks and Applications","L. Magadán
Francisco J. Suárez
Juan C. Granda
Daniel F. Garcia","10.1007/s11036-022-02017-2","https://scispace.com/pdf/low-cost-industrial-iot-system-for-wireless-monitoring-of-26hvn1jb.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses MING stack for motor monitoring IoT; provides detailed architecture but lacks renewable‑energy learning‑factory focus, surveys, or benchmarking.","Abstract Condition monitoring of industrial equipment has become a critical aspect in Industry 4.0. This paper shows the design, implementation and testing of a low-cost Industrial Internet of Things (IIoT) system designed to monitor electric motors in real-time. This system can be used to detect operating anomalies and paves the way for building predictive maintenance models. The system is built using low-cost hardware components (wireless multi-sensor modules and single-board computers as gateways), open-source software and open cloud services, where all the relevant information is stored. The module collects real-time vibration data from electric motors. Vibration analyses in the temporal and frequency domains were carried out in both modules and gateways to compare their capabilities. This approach is also a springboard to using edge/fog computing to save cloud resources. A system prototype has been tested in the laboratory and in an industrial dairy plant. The results show that the proposed system can be used for continuous monitoring of any rotatory machine with similar accuracy to professional monitoring devices but at a significantly lower cost. ","The system architecture is composed of three layers: the edge layer (IoT sensors), the fog layer (gateways), and the cloud layer (storage, visualization, analysis). All layers have computing capacity. The edge and fog layers help distribute processing between sensors and the cloud, improving latency and reducing data transfer. Fog computing is emphasized for processing and data analytics.","The cloud layer uses an MQTT broker, Node-RED, InfluxDB, and Grafana. The gateway connects to the MQTT broker and publishes messages. Node-RED processes and stores data in InfluxDB, which Grafana displays on a dashboard. Communication protocols mentioned include BLE (between multi-sensor modules and gateways) and MQTT (from gateway to cloud).","The paper presents a low-cost IIoT system for real-time electric motor monitoring, capable of detecting anomalies and supporting predictive maintenance. It offers continuous monitoring, vibration frequency analysis, and fog computing, comparable to professional devices at lower cost.

Challenges include BLE communication range limitations (few meters indoors), maximum 15 multi-sensor modules per gateway, and latency increasing significantly with FFT size, especially in challenging industrial environments with obstacles. A trade-off between latency and spectral resolution is necessary."
"Development of a Supervisory System Using Open-Source for a Power Micro-Grid Composed of a Photovoltaic (PV) Plant Connected to a Battery Energy Storage System and Loads","https://scispace.com/paper/development-of-a-supervisory-system-using-open-source-for-a-2dh59bzg","2022","Journal Article","Energies","F. M. Q. Silva
Menaouar Berrehil El Kattel
Igor A. Pires
Thales A. C. Maia","10.3390/en15228324","https://scispace.com/pdf/development-of-a-supervisory-system-using-open-source-for-a-2dh59bzg.pdf","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses Node‑RED and Grafana for a PV‑battery micro‑grid supervisory system; provides architecture details but lacks full MING stack, learning‑factory focus, surveys, benchmarking, or shared code.","The importance of renewable energies and energy storage system forming a micro-grid and integrating it to the electrical grid is widely spread. A supervisory system plays a crucial role in controlling, managing, and planning the micro-grid. This paper demonstrates the development of a new custom supervisory system based on Internet of Things (IoT), creating an information sharing environment. The proposed supervisory system is based on open-source tools for a micro-grid, composed of a photovoltaic power plant and a storage system, employing smart devices and making non-smart devices compatible with IoT systems. The new supervisory improves the available system by incorporating new features and devices and increasing the data polling rate when necessary. A comparison between the current supervisory system and the proposed one is performed, showing that the new system is more flexible, easily modified, cost-effective, and more fault-resilient.","The paper describes an IoT structural architecture composed of five layers: perception (or device), network (or transmission), middleware, application, and business layers. The perception layer handles physical equipment and sensing devices, while the network layer secures data transmission. The middleware layer processes data, and the application layer manages global applications. The business layer oversees the IoT system. This structure emphasizes modularity and fault tolerance.","The supervisory system utilizes Node-RED for flow programming, InfluxDB as an open-source time series database, and Grafana for dashboards and data visualization. Communication protocols include Modbus TCP/IP for inverters and energy meters, Serial Modbus RS-485 for the third photovoltaic inverter, and MQTT/MQTTS for DC-current sensors and hybrid inverters. The system deploys these components across communication, database, and application servers, often using Raspberry Pis as dedicated servers for fault tolerance.","The paper presents a custom IoT-based supervisory system for a micro-grid, demonstrating a flexible, cost-effective, and fault-resilient solution compared to traditional systems. It improves data polling rates and integrates smart/non-smart devices.

Challenges include:
- Naming and identity management for many devices.
- Interoperability and standardization across diverse protocols.
- Device safety and security.
- Network security for data transmission."
"Architecture of Compressor Equipment Monitoring and Control Cyber-Physical System Based on Influxdata Platform","https://scispace.com/paper/architecture-of-compressor-equipment-monitoring-and-control-3pct1i1sel","2019","Proceedings Article","International Conference on Industrial Engineering, Applications and Manufacturing","Aleksey Kychkin
Aleksadr Deryabin
Olga Vikentyeva
Lidiia Shestakova","10.1109/ICIEAM.2019.8742963","","- **Relevance Score:** 15/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses InfluxDB, Grafana, MQTT for a compressor CPS, matching three MING parts; lacks Node‑RED and renewable‑energy scope. Provides component diagrams and data‑flow. No survey, benchmarking, case study, metrics, or open‑source.","Architecture of the compressor equipment monitoring and control cyber-physical system (CPS) based on the InfluxData IoT platform is proposed. CPS consists of three subsystems: a subsystem of a physical object, a digital twin and an interface. As a technical implementation of the IoT controller, a measuring and control module based on a data acquisition, data transfer and control device - VIDA350, connected to the Telegraf data collection agent of the platform using the MQTT protocol, is proposed. The basic methods of processing raw data from energy meters and sensors of technological parameters, implemented in blocks of on-line and off-line calculations are given. The organization of the digital twin of the compressor using the database of time series InfluxDB and the relational database MSSQL, storing information about changes in the technological parameters of equipment over time, energy efficiency indicators, statistics on accidents and operating time, equipment models, etc., is proposed. The Grafana system and FreeCAD is used for the visualization of equipment in 3D. The use of CPS can increase the efficiency of operation of compressors due to the timely detection of air leaks, minimizing idling, minimizing peak consumption, optimizing process parameters and settings both of the compressors and consumers.","The proposed CPS consists of three subsystems: a physical object, a digital twin, and an interface. It uses an InfluxData IoT platform, with VIDA350 connected via MQTT to Telegraf. The digital twin is organized using InfluxDB and MSSQL, with Grafana and FreeCAD for visualization. This architecture emphasizes data acquisition, processing, and digital twin creation.","The paper uses InfluxDB and Grafana from the MING stack. It mentions the MQTT protocol for data transfer. The system integrates VIDA350 (IoT controller) connected to Telegraf via MQTT, with InfluxDB and MSSQL for data storage, and Grafana/FreeCAD for visualization. This architecture implies edge data acquisition and cloud/fog processing.","The paper proposes a CPS architecture for compressor equipment monitoring and control, using an InfluxData IoT platform, VIDA350 module, InfluxDB, MSSQL, Grafana, and FreeCAD. The main contribution is the proposed architecture and its potential to increase compressor efficiency by detecting air leaks, minimizing idling and peak consumption, and optimizing parameters. No challenges, limitations, or open research problems are explicitly mentioned in the metadata."
"LabSensing: Um Sistema de Sensoriamento para Laboratórios Científicos com Computação Inteligente nas Bordas","https://scispace.com/paper/labsensing-um-sistema-de-sensoriamento-para-laboratorios-2mns4mg8ob","2019","Proceedings Article","","Kaylani Bochie
Miguel Elias M. Campista","10.5753/SBRC_ESTENDIDO.2019.7793","https://scispace.com/pdf/labsensing-um-sistema-de-sensoriamento-para-laboratorios-2mns4mg8ob.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Provides open‑source Node‑RED flow (highly relevant); details MING‑stack lab architecture (somewhat relevant); lacks renewable‑energy learning‑factory focus, surveys, benchmarking, or performance metrics.","Este trabalho propõe o LabSensing, um sistema de sensoriamento distribuído para monitoramento de laboratórios científicos. O LabSensing utiliza uma estratégia de comunicação assíncrona para transferência de dados e reduz o tráfego injetado na rede através de políticas de eliminação de dados redundantes nas bordas. As motivações técnicas que levaram à escolha das ferramentas, assim como o processo e desenvolvimento do sistema a partir da arquitetura proposta são discutidos. Os resultados experimentais mostram o funcionamentodo sistema e a efetividade obtida com a computação nas bordas para redução da carga de dados na rede.","The LabSensing architecture follows a typical IoT layered division: perception, communication, and data storage/display. It emphasizes edge computing to reduce network load by processing data at the perception layer (sensor nodes). The system uses an asynchronous communication strategy via MQTT and a centralized server for storage and display, with a web-based dashboard for visualization.","LabSensing uses MQTT as the communication protocol, implemented with Mosquitto as the Broker. Node-RED serves as the concentration node, processing information before writing to InfluxDB, the time-series database. Grafana is used for data visualization. These components are deployed on a central server within the laboratory, not in the cloud.","LabSensing, a distributed sensing system, effectively reduces network data load through edge processing and asynchronous communication. Experimental results show significant data reduction using threshold-based transmission, though it may increase energy consumption if nodes cannot sleep. The system's scalability is supported by MQTT brokers handling numerous connections. Future work includes testing other policies like linear regression or Machine Learning for estimated intervals and expanding the test network."
"Design, development, and optimization of a conceptual framework of digital twin electric grid using systems engineering approach","https://scispace.com/paper/design-development-and-optimization-of-a-conceptual-3kd4j6e2iq","2024","Journal Article","Electric Power Systems Research","Md. Mhamud Hussen Sifat
Sajal K. Das
Safwat Mukarrama Choudhury","10.1016/j.epsr.2023.109958","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a digital‑twin framework for electric grids using systems engineering; does not address MING‑stack, learning factories, or related benchmarking.","Apart from conventional centralized control and administration, power systems entered the smart grid era, whilst the burgeoning Industry 4.0 demanded production and distribution in terms of digital data exchange and IoE (Internet of Everything)-based platforms. The usage of a digital twin in power system operation is an advanced version of IIoT (Industrial Internet of Things). In terms of a more secure and dependable grid network, interconnected cloud architecture and online remote administration provide effective vulnerability management. Yet, to fully exploit the promise of digital twin technology in the electric grid, a conceptual framework is required to define the critical parts and procedures involved in constructing and deploying a digital twin system. A conceptual framework based on systems engineering approaches is proposed in this paper which takes the electric grid's particular characteristics, such as system complexity, the necessity for real-time surveillance and control, and the significance of security and dependability into consideration. Accelerating the adoption of digital twin technologies in the electric grid can be made viable through the establishment of a well-defined and comprehensive development framework. This approach will contribute to the realization of a power system that is characterized by enhanced stability, efficiency, and sustainability. Considering the issue to be a multivariable optimization problem, a systems engineering approach is chosen based on component-based modeling, overall system configuration, and functional analysis. ","The paper proposes a conceptual framework for a digital twin electric grid using a systems engineering approach. It mentions interconnected cloud architecture and online remote administration. The approach is based on component-based modeling, overall system configuration, and functional analysis, considering system complexity, real-time surveillance, security, and dependability. No specific CPS layered architecture (e.g., perception/network/middleware/application, 5C, fog/edge/cloud tiers) is explicitly detailed.","Not available in metadata.","This paper proposes a conceptual framework for digital twin electric grids, utilizing a systems engineering approach. This framework considers system complexity, real-time surveillance, security, and dependability to accelerate digital twin adoption and enhance grid stability, efficiency, and sustainability. The challenge lies in fully exploiting digital twin technology, requiring a defined framework for critical parts and procedures. The issue is framed as a multivariable optimization problem."
"IoT-Based Digital Twin for Energy Cyber-Physical Systems: Design and Implementation","https://scispace.com/paper/iot-based-digital-twin-for-energy-cyber-physical-systems-n4d7sdjnnn","2020","Journal Article","Energies","Ahmed A. Saad
Samy Faddel
Osama A. Mohammed","10.3390/EN13184762","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on IoT‑based digital twin using AWS; no MING stack, no survey, no detailed CPS architecture, nor benchmarking for learning factories.","With the emergence of distributed energy resources (DERs), with their associated communication and control complexities, there is a need for an efficient platform that can digest all the incoming data and ensure the reliable operation of the power system. The digital twin (DT) is a new concept that can unleash tremendous opportunities and can be used at the different control and security levels of power systems. This paper provides a methodology for the modelling of the implementation of energy cyber-physical systems (ECPSs) that can be used for multiple applications. Two DT types are introduced to cover the high-bandwidth and the low-bandwidth applications that need centric oversight decision making. The concept of the digital twin is validated and tested using Amazon Web Services (AWS) as a cloud host that can incorporate physical and data models as well as being able to receive live measurements from the different actual power and control entities. The experimental results demonstrate the feasibility of the real-time implementation of the DT for the ECPS based on internet of things (IoT) and cloud computing technologies. The normalized mean-square error for the low-bandwidth DT case was 3.7%. In the case of a high-bandwidth DT, the proposed method showed superior performance in reconstructing the voltage estimates, with 98.2% accuracy from only the controllers’ states.","The paper describes a methodology for the modeling and implementation of energy cyber-physical systems (ECPSs) using digital twins. It introduces two digital twin types for high-bandwidth and low-bandwidth applications, emphasizing their role in centric oversight decision-making. The architecture leverages Amazon Web Services (AWS) as a cloud host, integrating physical and data models and receiving live measurements. It utilizes IoT and cloud computing technologies for real-time implementation.","The paper uses Amazon Web Services (AWS) as a cloud host. It validates the digital twin concept for Energy Cyber-Physical Systems based on IoT and cloud computing technologies. Specific MING stack components (MQTT, InfluxDB, Node-RED, Grafana) or communication protocols like LoRaWAN, OPC-UA, Modbus, CoAP, HTTP are not explicitly mentioned in the metadata.","The paper provides a methodology for modeling and implementing energy cyber-physical systems (ECPSs) using digital twins. It introduces two DT types for high-bandwidth and low-bandwidth applications, validated using AWS. Key findings include 3.7% normalized mean-square error for low-bandwidth DT and 98.2% accuracy in reconstructing voltage estimates from controller states for high-bandwidth DT. The experimental results demonstrate the feasibility of real-time DT implementation based on IoT and cloud computing."
"Semantic Microservice Framework for Digital Twins","https://scispace.com/paper/semantic-microservice-framework-for-digital-twins-1sj12z0b6m","2021","Journal Article","Applied Sciences","Gernot Steindl
Wolfgang Kastner","10.3390/APP11125633","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on semantic microservices and digital twins, without MING components, renewable‑energy learning factories, surveys, or benchmarking.","Digital Twins (DT) in industrial cyber-physical systems are the key enabling technology for Industry 4.0. Services are an essential part of almost every DT concept, but their interaction is usually implementation-specific since no common guidelines are available. This work identifies some fundamental requirements for a DT service framework based on applications identified in corresponding literature. Based on these requirements, a service framework architecture is proposed. The architecture utilizes Semantic Web technology and a workflow engine for service orchestration to support the fulfilment of the identified requirements. As a case study for sensor data evaluation of an industrial process, a proof-of-concept implementation is presented, showing the feasibility and suitability of the proposed DT service framework architecture.","The paper proposes a service framework architecture for Digital Twins in industrial cyber-physical systems. This architecture utilizes Semantic Web technology and a workflow engine for service orchestration. It is built upon identified fundamental requirements for a DT service framework. The framework supports service interaction, which is often implementation-specific in existing DT concepts. No explicit layered CPS architecture like perception/network/middleware/application or ISA-95 is detailed, but it focuses on a service framework for DTs.","Not available in metadata.","This paper identifies fundamental requirements for a Digital Twin (DT) service framework based on literature. It proposes a service framework architecture utilizing Semantic Web technology and a workflow engine for service orchestration to meet these requirements. A proof-of-concept implementation demonstrates its feasibility. The metadata does not explicitly mention challenges, limitations, or open research problems."
"Digital Twin to Control and Monitor an Industrial Cyber-Physical Environment Supported by Augmented Reality","https://scispace.com/paper/digital-twin-to-control-and-monitor-an-industrial-cyber-1b7yoe8s","2023","Journal Article","Applied Sciences","Gustavo Caiza
Ricardo Sanz","10.3390/app13137503","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on a digital twin with AR using OPC UA and Ethernet; no MING‑stack, renewable‑energy learning factory, surveys, benchmarks, or open‑source artifacts.","Increasing industrial development and digital transformations have given rise to a technology called Digital Twin (DT) that has the potential to break the barrier between physical and cyberspace. DT is a virtual and dynamic model enabled through a bidirectional data flow that creates high-reliability models with interconnection and fusion between the physical and digital systems for full integration. In smart manufacturing, this technology is increasingly used in research and industry. However, the studies conducted do not provide a definition or a single integrally connected model. To develop the Digital Twin shown in this research, the literature was reviewed to learn about the enabling technologies and architectures used at the industrial level. Then, a methodology was used to obtain the physical process information, create the digital environment, communicate the physical environment, apply simulation models in the digital environment, and parameterize the simulation environment with the physical process in real-time to obtain the digital twin supported with augmented reality. The system was implemented in the MPS-500 modular production station that has industrial sensors and actuators. The virtual environment was designed with Blender and Vuforia to create the augmented reality environment. In the proposed methodology, robust devices (field and control level) and low-cost embedded systems were used for the creation and communication of the virtual environment (monitoring and control); for the joint work of these technologies, they were carried out through the use of the following protocols: Open Platform Communications United Architecture (OPC UA), Ethernet, and machine to machine (M2M), with which a communication was achieved between the different levels of the automation pyramid. The results show that the proposed methodology for the implementation of the DT allows bidirectional communication between the physical and virtual environment and can also be visualized with the support of AR, thus providing its characteristics to the proposed DT. Digital Twin is an essential factor in creating virtual environments and improving applications between the real and digital world, establishing a bidirectional communication through the Ethernet protocol, with a communication time of approximately 100 ms. This technology interacts with the virtual environment and performs mappings, thus achieving timely and dynamic adjustment. This improves data management and production and incorporates process simulation and physical control in real-time, allowing to execute and trigger actions in the physical equipment simultaneously.","The paper describes a methodology for a Digital Twin (DT) supported by Augmented Reality, integrating physical and digital systems. It mentions communication between ""the different levels of the automation pyramid"" and uses ""robust devices (field and control level)"" alongside low-cost embedded systems. The architecture involves field, control, and virtual environment levels, communicating via OPC UA, Ethernet, and M2M protocols.","The paper does not mention MQTT, InfluxDB, Node-RED, or Grafana. Alternative technologies used include Blender and Vuforia for the virtual environment and augmented reality. Communication protocols mentioned are Open Platform Communications United Architecture (OPC UA), Ethernet, and machine to machine (M2M), enabling communication between different levels of the automation pyramid with a communication time of approximately 100 ms.","The paper proposes a methodology for Digital Twin (DT) implementation, enabling bidirectional communication between physical and virtual environments, visualized with Augmented Reality (AR). This system achieved communication between automation pyramid levels using OPC UA, Ethernet, and M2M protocols, with a communication time of approximately 100 ms. A key challenge identified is the lack of a single, integrally connected definition or model for Digital Twins in existing literature."
