"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Digital Twins for Enhancing Efficiency and Assuring Safety in Renewable Energy Systems: A Systematic Literature Review","https://scispace.com/paper/digital-twins-for-enhancing-efficiency-and-assuring-safety-1al7fapasf","2024","Journal Article","Energies","Razeen Hashmi
Huai Liu
Ali Yavari","10.3390/en17112456","","As the demand for sustainable energy solutions grows, there is a critical requirement for continuous innovation to optimize the performance and safety of renewable energy systems (RESs). Closed-loop digital twins (CLDTs)—synchronized virtual replicas embedded with real-time data and control loops to mirror the behavior of physical systems—have emerged as a promising tool for achieving this goal. This paper presents a systematic literature review on the application of digital twin (DT) technology in the context of RESs with an emphasis on the impact of DTs on the efficiency, performance, and safety assurance of RESs. It explores the concept of CLDTs, highlighting their key functionalities and potential benefits for various renewable energy technologies. However, their effective implementation requires a structured approach to integrate observation, orientation, decision, and action (OODA) processes. This study presents a novel OODA framework specifically designed for CLDTs to systematically identify and manage their key components. These components include real-time monitoring, decision-making, and actuation. The comparison is carried out against the capabilities of DT utilizing the OODA framework. By analyzing the current literature, this review explores how DT empowers RESs with enhanced efficiency, reduced risks, and improved safety assurance.","Digital twins enhance efficiency, performance, and safety assurance in renewable energy systems by mirroring physical systems with real-time data and control loops."
"Near real-time analysis of active distribution networks in a Digital Twin framework: A real case study","https://scispace.com/paper/near-real-time-analysis-of-active-distribution-networks-in-a-4yvcpima1o","2023","Journal Article","Sustainable Energy, Grids and Networks","Tommaso Bragatto
Marco Antonio Bucarelli
Federico Carere
M. Cresta
Fabio Massimo Gatta
Alberto Geri
M. Maccioni
M. Paulucci
Parastou Poursoltan
Francesca Santori","10.1016/j.segan.2023.101128","","The growth of distributed generation and the need of increasing Distribution Network (DN) resilience is encouraging Distribution System Operators (DSO) to increase awareness about the real-time status of the network as well as to actively manage flexible energy resources for improving system performances. In this context, Digital Twin (DT) is an enabling technology for a low-cost distributed framework that supports DN management. DT in the power system can be exploited taking advantage of the successful experiences in other sectors (e.g., smart manufacturing and building automation). This article presents a real case study of a DT development and its integration with an existing DN. The DT system architecture is based on the recent standards whilst main DT components have been originally developed, enabling near real-time services such as data collection, state estimation, and flexibility calculator. The individual performances of the integrated tools and the reliability of DT were tested and validated during one month of continuous operation. During the operation, good service continuity and accuracy performances were reported. Results from the flexibility calculator show the effectiveness of the proposed strategies that can improve the energy efficiency of the DN by increasing local self-consumption of Renewable Energy Sources (RES) production. ","This study presents a Digital Twin framework for near real-time analysis of active distribution networks, integrating data collection, state estimation, and flexibility calculator, demonstrating improved energy efficiency and resilience through local self-consumption of renewable energy sources."
"IoT-Based Digital Twin for Energy Cyber-Physical Systems: Design and Implementation","https://scispace.com/paper/iot-based-digital-twin-for-energy-cyber-physical-systems-n4d7sdjnnn","2020","Journal Article","Energies","Ahmed A. Saad
Samy Faddel
Osama A. Mohammed","10.3390/EN13184762","","With the emergence of distributed energy resources (DERs), with their associated communication and control complexities, there is a need for an efficient platform that can digest all the incoming data and ensure the reliable operation of the power system. The digital twin (DT) is a new concept that can unleash tremendous opportunities and can be used at the different control and security levels of power systems. This paper provides a methodology for the modelling of the implementation of energy cyber-physical systems (ECPSs) that can be used for multiple applications. Two DT types are introduced to cover the high-bandwidth and the low-bandwidth applications that need centric oversight decision making. The concept of the digital twin is validated and tested using Amazon Web Services (AWS) as a cloud host that can incorporate physical and data models as well as being able to receive live measurements from the different actual power and control entities. The experimental results demonstrate the feasibility of the real-time implementation of the DT for the ECPS based on internet of things (IoT) and cloud computing technologies. The normalized mean-square error for the low-bandwidth DT case was 3.7%. In the case of a high-bandwidth DT, the proposed method showed superior performance in reconstructing the voltage estimates, with 98.2% accuracy from only the controllers’ states.","A methodology for the modelling of the implementation of energy cyber-physical systems (ECPSs) that can be used for multiple applications and the proposed method showed superior performance in reconstructing the voltage estimates, with 98.2% accuracy from only the controllers’ states."
"Design, development, and optimization of a conceptual framework of digital twin electric grid using systems engineering approach","https://scispace.com/paper/design-development-and-optimization-of-a-conceptual-3kd4j6e2iq","2024","Journal Article","Electric Power Systems Research","Md. Mhamud Hussen Sifat
Sajal K. Das
Safwat Mukarrama Choudhury","10.1016/j.epsr.2023.109958","","Apart from conventional centralized control and administration, power systems entered the smart grid era, whilst the burgeoning Industry 4.0 demanded production and distribution in terms of digital data exchange and IoE (Internet of Everything)-based platforms. The usage of a digital twin in power system operation is an advanced version of IIoT (Industrial Internet of Things). In terms of a more secure and dependable grid network, interconnected cloud architecture and online remote administration provide effective vulnerability management. Yet, to fully exploit the promise of digital twin technology in the electric grid, a conceptual framework is required to define the critical parts and procedures involved in constructing and deploying a digital twin system. A conceptual framework based on systems engineering approaches is proposed in this paper which takes the electric grid's particular characteristics, such as system complexity, the necessity for real-time surveillance and control, and the significance of security and dependability into consideration. Accelerating the adoption of digital twin technologies in the electric grid can be made viable through the establishment of a well-defined and comprehensive development framework. This approach will contribute to the realization of a power system that is characterized by enhanced stability, efficiency, and sustainability. Considering the issue to be a multivariable optimization problem, a systems engineering approach is chosen based on component-based modeling, overall system configuration, and functional analysis. ","This paper proposes a conceptual framework for digital twin electric grids using systems engineering, considering complexity, real-time surveillance, security, and dependability, to accelerate adoption and enhance grid stability, efficiency, and sustainability."
"A Cyber–Physical System Based on Digital Twin and 3D SCADA for Real-Time Monitoring of Olive Oil Mills","https://scispace.com/paper/a-cyber-physical-system-based-on-digital-twin-and-3d-scada-30pcon2s7b","2024","Journal Article","Technologies (Basel)","Cristina Martínez-Ruedas
J.M. Flores-Arias
Isabel M. Moreno-Garcia
Matias Linan-Reyes
F.J. Bellido-Outeiriño","10.3390/technologies12050060","","Cyber–physical systems involve the creation, continuous updating, and monitoring of virtual replicas that closely mirror their physical counterparts. These virtual representations are fed by real-time data from sensors, Internet of Things (IoT) devices, and other sources, enabling a dynamic and accurate reflection of the state of the physical system. This emphasizes the importance of data synchronization, visualization, and interaction within virtual environments as a means to improve decision-making, training, maintenance, and overall operational efficiency. This paper presents a novel approach to a cyber–physical system that integrates virtual reality (VR)-based digital twins and 3D SCADA in the context of Industry 4.0 for the monitoring and optimization of an olive mill. The methodology leverages virtual reality to create a digital twin that enables immersive data-driven simulations for olive mill monitoring. The proposed CPS takes data from the physical environment through the existing sensors and measurement elements in the olive mill, concentrates them, and exposes them to the virtual environment through the Open Platform Communication United Architecture (OPC-UA) protocol, thus establishing bidirectional and real-time communication. Furthermore, in the proposed virtual environment, the digital twin is interfaced with the 3D SCADA system, allowing it to create virtual models of the process. This innovative approach has the potential to revolutionize the olive oil industry by improving operational efficiency, product quality, and sustainability while optimizing maintenance practices. ","A cyber–physical system based on digital twin and 3D SCADA for real-time monitoring of olive oil mills enables immersive data-driven simulations for improved operational efficiency, product quality, and sustainability."
"A Review on Digital Twins and Its Application in the Modeling of Photovoltaic Installations","https://scispace.com/paper/a-review-on-digital-twins-and-its-application-in-the-1hk95pxicu","2024","Journal Article","Energies","Dorotea Dimitrova Angelova
Diego Carmona Fernández
Manuel Calderón Godoy
Juan Félix González","10.3390/en17051227","","Industry 4.0 is in continuous technological growth that benefits all sectors of industry and society in general. This article reviews the Digital Twin (DT) concept and the interest of its application in photovoltaic installations. It compares how other authors use the DT approach in photovoltaic installations to improve the efficiency of the renewable energy generated and consumed, energy prediction and the reduction of the operation and maintenance costs of the photovoltaic installation. It reviews how, by providing real-time data and analysis, DTs enable more informed decision-making in the solar energy sector. The objectives of the review are to study digital twin technology and to analyse its application and implementation in PV systems.","A review on digital twins and its application in the modeling of photovoltaic installations highlights the benefits of DTs in improving efficiency, prediction and cost reduction for PV systems."
"A comprehensive survey on digital twin for future networks and emerging Internet of Things industry","https://scispace.com/paper/a-comprehensive-survey-on-digital-twin-for-future-networks-50mlysoeh0","2024","Journal Article","Computer Networks","Akram Hakiri
Aniruddha Gokhale
Sadok Ben Yahia
Nedra Mellouli","10.1016/j.comnet.2024.110350","","The rapid growth of industrial digitalization in the Industry 4.0 era is fundamentally transforming the industrial sector by connecting products, machines, and people, offering real-time digital models to allow self-diagnosis, self-optimization and self-configuration. However, this uptake in such a digital transformation faces numerous obstacles. For example, the lack of real-time data feeds to perform custom closed-loop control and realize common, powerful industrial systems, the complexity of traditional tools and their inability in finding effective solutions to industry problems, lack of capabilities to experiment rapidly on innovative ideas, and the absence of continuous real-time interactions between physical objects and their simulation representations along with reliable two-way communications, are key barriers towards the adoption of such a digital transformation. Digital twins hold the promise of improving maintainability and deployability, enabling flexibility, auditability, and responsiveness to changing conditions, allowing continuous learning, monitoring and actuation, and allowing easy integration of new technologies in order to deploy open, scalable and reliable Industrial Internet of Things (IIoT). A critical understanding of this emerging paradigm is necessary to address the multiple dimensions of challenges in realizing digital twins at scale and create new means to generate knowledge in the industrial IoT. To address these requirements, this paper surveys existing digital twin along software technologies, standardization efforts and the wide range of recent and state-of-the-art digital twin-based projects; presents diverse use cases that can benefit from this emerging technology; followed by an in-depth discussion of the major challenges in this area drawing upon the research status and key trends in Digital Twins. ","This paper surveys digital twin technologies, standardization efforts, and projects for Industry 4.0, highlighting challenges and use cases, to facilitate knowledge generation and adoption in the Industrial Internet of Things (IIoT) and emerging Internet of Things industry."
"Exploiting microservices and serverless for Digital Twins in the cloud-to-edge continuum","https://scispace.com/paper/exploiting-microservices-and-serverless-for-digital-twins-in-acgc0j7s2n","2024","Journal Article","Future Generation Computer Systems","Paolo Bellavista
Nicola Bicocchi
Mattia Riccardo Fogli
Carlo Giannelli
Marco Mamei
Marco Picone","10.1016/j.future.2024.03.052","","R4.2 In the Industry 4.0 era, Digital Twins (DTs) serve as virtual representations of physical objects and intermediaries between the physical world and the digital realm. DTs require proper modeling, design, and development to ensure their seamless integration along the cloud-to-edge continuum. In particular, this work introduces a microservices-based and serverless-ready model for DTs, laying the foundation for cost-effective DT deployment and orchestration. The joint adoption of microservices and serverless computing offers significant potential to address various challenges, including accommodating variable application requirements, managing load imbalances, and mitigating network faults. The proposed DT model has been implemented in different flavors: two serverless implementations—one that relies on a serverless framework of a cloud provider and one running at the edge on-premises—and a microservices one. These implementations have been experimentally evaluated with particular emphasis on the quality of cyber–physical entanglement. This work not only discusses the advantages and drawbacks of different implementations from a qualitative perspective but also quantitatively evaluates them with the in-the-field collection of experimental performance results. Notably, we report that a serverless implementation typically performs an order of magnitude worse than a microservices one in terms of entanglement, i.e., hundreds vs. tens of milliseconds. ","This research introduces a microservices-based and serverless-ready model for Digital Twins, addressing challenges in cloud-to-edge continuum deployment and orchestration, and experimentally evaluates its performance, highlighting the trade-offs between serverless and microservices implementations."
"OPC-UA/MQTT-Based Multi M2M Protocol Architecture for Digital Twin Systems","https://scispace.com/paper/opc-ua-mqtt-based-multi-m2m-protocol-architecture-for-1r0hqhffov","2023","Book Chapter","","Le Phuong Nam
Tran Ngoc Cat
Dong Woo Nam
Nguyen Van Trong
Thanh Long Le
Cuong Pham‐Quoc","10.1007/978-3-031-46573-4_30","","The rapid evolution of Industrial 4.0 provides a vast potential to change how the globalization of manufacturing and consumption of goods and services occurs in the global markets. Based on the Internet of Things and Cyber-Physical Systems, the application of Digital Twin (DT) has grown exponentially in intelligent manufacturing. It has the potential to replicate everything in the physical world in the digital space and provide engineers with feedback from the virtual world. This paper proposes an emerging communication protocol, including the MQTT (Message Queuing Telemetry Transport) and OPC-UA (Open Platform Communications Unified Architecture), to support real-time data exchange in a DT application. While MQTT is a lightweight open messaging protocol that provides Machine-to-Machine (M2M), or Internet of Things (IoTs) connectivity protocol on top of TCP/IP, OPC-UA delivers a mechanism to thousands of data points to provide rich representations of a physical object. By combining MQTT and OPC-UA, we present a complete architecture for an intelligent manufacturing application where humans can monitor and control machines virtually. Our solution is applied to an open-source JetMax robot arm powered by Jetson Nano, which supports deep learning, and computer vision, for performance validation. ","An OPC-UA/MQTT-Based Multi M2M Protocol Architecture for Digital Twin Systems enables real-time data exchange between humans and machines in intelligent manufacturing applications."
"Industry 4.0 Machine-to-Machine Communication Protocols and Architectures on the Shop Floor","https://scispace.com/paper/industry-4-0-machine-to-machine-communication-protocols-and-3phv194x","2023","Journal Article","Springer Tracts in Additive Manufacturing","Liliane Massaad-Massade","10.1007/978-3-031-33890-8_19","","The concept of Industry 4.0 and the introduction of the Internet of Things (IoT) on industrial applications, known as Industrial Internet of Things (IIoT), have been changing the scenario of industrial automation. This new paradigm is expected to optimize industrial processes, increase productivity, lower costs and improve operations integration. For that, structured Machine-to-Machine (M2M) communication is key to ensure agility, interoperability and reliability, with several solutions currently available in the literature and in industry. This paper reviews the state of the art on industrial communication protocols and architectures, providing a classification and comparison of these different solutions based on their most relevant features in the context of Industry 4.0. ","In this paper , a review of the state of the art on industrial communication protocols and architectures, providing a classification and comparison of these different solutions based on their most relevant features in the context of Industry 4.0."
