"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"On Premises IIoT Architecture for Capturing, Storing and Visualizing Production Data","https://scispace.com/paper/on-premises-iiot-architecture-for-capturing-storing-and-321bn36zvo","2023","Proceedings Article","","Fabian Hensler
Alexander Jesser
Heinz Frank
Nico Strebe
Marius Kappler
Steffen Mütsch","10.1109/iceee59925.2023.00039","","In this paper an automated system for production data acquisition, storage and analysis is proposed. It covers the structure and a test of the entire data path consisting of machines, data broker, database and visualization software. Here, unlike other solutions, the actual data source in the production process is variable and not limited to a specific protocol or connector. To achieve this, a locally available gateway running the software Node-RED is used, to receive the data from the different machines and forward it to a central server using MQTT, for example. On this server, the data is stored in the time series database InfluxDB and is consequently available for analysis via Grafana. A particular focus lies on the independent software components, which can be easily exchanged and combined in other ways. Thus, choosing this software means that you won't be affected by the vendor lock-in that is common in the market. Security wise each software component can be hosted on premises, which is a deliberate move away from the cloud solutions that are common in many places. In addition to the structure of the described system, this paper also deals with the performance in terms of writing data to or retrieving data from the database compared to other solutions. Moreover the latency of different approaches in the system is considered.","The structure and a test of the entire data path consisting of machines, data broker, database and visualization software is proposed, which deals with the performance in terms of writing data to or retrieving data from the database compared to other solutions."
"Architecture of Compressor Equipment Monitoring and Control Cyber-Physical System Based on Influxdata Platform","https://scispace.com/paper/architecture-of-compressor-equipment-monitoring-and-control-3pct1i1sel","2019","Proceedings Article","International Conference on Industrial Engineering, Applications and Manufacturing","Aleksey Kychkin
Aleksadr Deryabin
Olga Vikentyeva
Lidiia Shestakova","10.1109/ICIEAM.2019.8742963","","Architecture of the compressor equipment monitoring and control cyber-physical system (CPS) based on the InfluxData IoT platform is proposed. CPS consists of three subsystems: a subsystem of a physical object, a digital twin and an interface. As a technical implementation of the IoT controller, a measuring and control module based on a data acquisition, data transfer and control device - VIDA350, connected to the Telegraf data collection agent of the platform using the MQTT protocol, is proposed. The basic methods of processing raw data from energy meters and sensors of technological parameters, implemented in blocks of on-line and off-line calculations are given. The organization of the digital twin of the compressor using the database of time series InfluxDB and the relational database MSSQL, storing information about changes in the technological parameters of equipment over time, energy efficiency indicators, statistics on accidents and operating time, equipment models, etc., is proposed. The Grafana system and FreeCAD is used for the visualization of equipment in 3D. The use of CPS can increase the efficiency of operation of compressors due to the timely detection of air leaks, minimizing idling, minimizing peak consumption, optimizing process parameters and settings both of the compressors and consumers.","The use of CPS can increase the efficiency of operation of compressors due to the timely detection of air leaks, minimizing idling, minimizing peak consumption, optimizing process parameters and settings both of the compressors and consumers."
"AI-Powered Predictive Energy Monitoring System Using Open-Source Tools: A Smart Building Case Study with Node-RED and InfluxDB","https://scispace.com/paper/ai-powered-predictive-energy-monitoring-system-using-open-x4f1slftztxg","2025","Journal Article","","Muhammad Dani
Ra. Paramita Mayadewi","10.1109/softt67007.2025.11213094","","Short-term energy forecasting plays a critical role in optimizing power usage, improving operational efficiency, and reducing costs in modern smart buildings and industrial facilities. Accurate forecasts allow operators to plan production schedules, balance energy loads, and detect abnormal patterns before they escalate into costly inefficiencies. Despite the rapid advancement of artificial intelligence and Internet of Things technologies, integrated real-time systems that are both cost-effective and based on open-source tools remain limited, particularly in developing regions where proprietary platforms are financially prohibitive. This paper presents the design and implementation of an AI-powered predictive energy monitoring system that integrates Node-RED, InfluxDB, and Python-based machine learning in a modular and deployable architecture. Real-time energy data is collected from industrial-grade sensors and transmitted using MQTT, stored as time-series data in InfluxDB. A Random Forest regression model is employed to forecast short-term consumption based on sliding-window representations of historical patterns, while Linear Regression serves as a baseline for comparison. The system is deployed in a live industrial environment, operating continuously on a 24/7 basis. Experimental results demonstrate that the Random Forest model reduces RMSE and MAE by approximately 39% and 37%, respectively, compared to the baseline. These findings confirm the system’s effectiveness in capturing non-linear energy usage patterns. This work contributes a practical, low-cost, and replicable solution for real-time smart energy management using widely available open-source platforms, while also opening opportunities for future extensions such as anomaly detection and automated optimization.","This paper presents an AI-powered predictive energy monitoring system using Node-RED, InfluxDB, and Python-based machine learning, reducing RMSE and MAE by 39% and 37% respectively, offering a practical, low-cost, and replicable solution for real-time smart energy management in smart buildings."
"Архитектура киберфизической системы компрессорного оборудования на платформе influxdata","https://scispace.com/paper/arkhitektura-kiberfizicheskoi-sistemy-kompressornogo-9yd8sjjl5wfc","2020","Repository","","Кычкин Алексей Владимирович
Дерябин Александр Иванович
Викентьева Ольга Леонидовна
Шестакова Лидия Валентиновна","10.25728/datsys.2019.2.3","","Предложена архитектура киберфизической системы компрессорного оборудования на базе платформы InfluxData, используемой для создания приложений Интернета вещей, состоящей из трех подсистем: подсистемы физического объекта, цифрового двойника и интерфейса. В качестве технической реализации контроллера Интернета вещей предложен измерительно-управляющий модуль на базе устройства сбора, передачи данных и управления - VIDA350. Рассмотрены базовые методы обработки сырых данных со счетчиков энергоресурсов и датчиков технологических параметров, реализуемые в блоках on-line и off-line расчетов. Предложена организация цифрового двойника компрессора с использованием БД временных рядов InfluxDB и реляционной БД PostgreSQL. Для 2D визуализация измерений и графической интерпретации панели управления предложена система Grafana, а также FreeCAD - для визуализации оборудования в 3D. ",""
"A Cyber-Physical System Approach for Energy Flexible Operation of Technical Building Services","https://scispace.com/paper/a-cyber-physical-system-approach-for-energy-flexible-tvalffeqi1du","2023","Journal Article","","","10.24355/dbbs.084-202308071209-0","","The energy transition is one of the most important ventures of the 21st century. Its success is regarded as a necessity to counter the climate crisis while maintaining current living standards. It requires a strict increase in low-carbon renewable energy sources like solar and wind power. Due to the volatile nature of these renewable energy sources, the electric energy supply becomes increasingly fluctuating, resulting in temporal bottlenecks and oversupplies. Industry as an essential energy consumer needs to deal with these developments. By means of effectively adapting their demands, energy flexible factories will be essential enablers of a low carbon industry. In addition, companies can profit by exploiting new business models, such as responding to fluctuating energy prices. In particular, technical building services (TBS) exhibit crucial flexibility potentials due to their significant electricity demands and inherent energy storage capacities. To exploit this potential, strategies and measures for energy flexible TBS must be identified, evaluated and technically implemented. Thereby, other goals of TBS operation like operational reliability, energy and resource efficiency and environmental impacts need to be considered. Digitalization and Industry 4.0 solutions can support in this task, as they allow the creation of digital twins and cyber-physical systems (CPS) that are able to rapidly react to changing boundary conditions. Against this background, a concept for a holistic CPS approach to foster energy flexible TBS operation is presented in this work. It addresses time horizons for TBS operation from operational planning to execution. In accordance with common CPS frameworks, the concept comprises four modules: physical world, data acquisition, cyber world and decision support and control. The physical world refers to the real-world TBS system with its inherent cause and effect relations, also considering influencing factors like energy supply and climate conditions. Data acquisition systems need to be installed in the physical world in order to receive a consistent and comprehensive data basis. Collected data is used in the cyber world to create virtual depictions of physical world elements using complementary black-box and white-box modeling approaches. Black-box models make use of methods like data mining to analyze and visualize the historical system behavior. Based on this, future developments can be predicted. Decision makers can use such data-based forecasts to make better and faster decisions for energy flexible TBS operation. White-box models allow to analyze and simulate alternative system configurations and operational strategies without affecting the currently running TBS. For example, effects resulting from the application of specific energy flexibility measures can be assessed in advance. This allows an identification of favorable scenarios in terms of technical, economic and environmental criteria. Scenarios can then be implemented in the physical world either manually or through an automated control. The application of the presented concept is demonstrated by means of two case studies, referring to the manufacturing of automation components and to an academic learning factory environment. Thereby, significant improvement potentials regarding energy flexibility of TBS operation are demonstrated. Altogether, the approach provides a progress beyond state of research regarding modeling, evaluation and improvement of TBS operation in terms of energy flexibility. ",""
"Edge Architecture for the Integration of Soft Models Based Industrial AI Control into Industry 4.0 Cyber-Physical Systems","https://scispace.com/paper/edge-architecture-for-the-integration-of-soft-models-based-3henredabu","","Journal Article","","Ander García
Telmo Fernández de Barrena
J. L. Chacón
Xabier Oregui
Zelmar Etxegoien","10.1007/978-3-031-42536-3_7","","Traditionally PLC and SCADA systems programmed by automation engineers have been responsible for the control of industrial machines and processes. Industry 4.0 paradigm has merged OT and IT domains, proposing new alternatives for this task. Industry 4.0 approaches start capturing OT industrial data and making it available to the IT domain. Then, this data is visualized, stored and/or analyzed to gain insights of the industrial processes. As a final step, AI models access real-time data to generate predictions and/or control industrial processes. However, this process requires OT and IT knowledge not present in many industrial companies, mainly SMEs. This paper proposes a micro-service edge architecture based on the MING (Mosquitto, InfluxDB, Node-RED and Grafana) stack to ease the integration of soft AI models to control a cyber-physical industrial system. The architecture has been successfully validated controlling the vacuum generation process of an industrial machine. Soft AI models applied to real-time data of the machine analyze the vacuum value to decide when the most suitable time is (i) to start the second pump of the machine, (ii) to finish the process, and (iii) to stop the process due to the detection of humidity. ","This paper proposes a micro-service edge architecture (MING stack) to integrate soft AI models into Industry 4.0 cyber-physical systems, easing the control of industrial processes, and is validated through successful control of an industrial machine's vacuum generation process."
"Cyber-Physical System—An Architectural Review","https://scispace.com/paper/cyber-physical-system-an-architectural-review-3cy317tz02","2022","Book Chapter","","L. Ramanathan
R. S. Nandhini","10.1007/978-981-16-0739-4_13","","Cyber-physical systems (CPS) are very complex systems that are integrated with collaboration of communication, computation, and control together termed as 3C technology. Researchers and engineers are moving toward progress in the exploration of CPS. However, the intricacy of computing and physical advancements leads to following challenges in the development of CPS, such as physical abstraction, robustness, scalability, efficiency, and security. This paper first introduces the architectural analysis and design. Then, different CPS architectures are discussed from the perspective of manufacturing and industrial revolution. Finally, it presents the applications of CPS regarding the same.","In this paper, different CPS architectures are discussed from the perspective of manufacturing and industrial revolution, and the applications of CPS regarding the same are discussed as well as the architectural analysis and design."
"A Review of Energy Aware Cyber-Physical Systems","https://scispace.com/paper/a-review-of-energy-aware-cyber-physical-systems-2qypxhjj","2023","Journal Article","Cyber-physical systems","Houssam Kanso
Adel Noureddine
Ernesto Exposito","10.1080/23335777.2022.2163298","","In recent years, the number of connected devices and systems has increased exponentially, along with their daily use. Cyber-Physical Systems (CPS) are complex multi-layered feedback systems that combine computing resources and interaction with the physical environment using sensors and actuators. Energy is considered one of the major concerns driven by the increasing number of connected systems. In this paper, we review current research approaches in energy-aware CPS. We propose a novel architectural methodology to analyse and compare state-of-the-art approaches, on their architectural design and energy-related factors. We finally draw recommendations from our review on how to build energy-aware CPS solutions. ","In this article , the authors present a review of energy-aware Cyber-Physical Systems (CPSs) and propose a novel architectural methodology to analyze and compare state-of-the-art approaches, on their architectural design and energy-related factors."
"Cyber-Physical Production Systems for Industrial Shop-Floor Integration Based on AMQP","https://scispace.com/paper/cyber-physical-production-systems-for-industrial-shop-floor-2bdm2rzgi8","2019","Proceedings Article","International Conference on Information Systems","Erick S. Llamuca
Carlos A. Garcia
Jose E. Naranjo
Marcelo V. Garcia","10.1109/ICI2ST.2019.00014","","Due to the recent development of the Internet of Things (IoT), and Cloud computing technologies, Cyber-Physical Systems (CPPS) are currently used as controllers during the manufacturing process. This new approach results in new insights that can enhance decision-making processes and provide a competitive business advantage. This study deals with the implementation of CPPS using low-cost devices in a simulated factory to control the industrial process and integrate shop-floor communications using the AMQP (Advanced Message Queuing Protocol) protocol. In an era in which most CPPS-related studies are conducted on high-level abstract models, this study describes more specific architectural frameworks in a real process.","This study deals with the implementation of CPPS using low-cost devices in a simulated factory to control the industrial process and integrate shop-floor communications using the AMQP (Advanced Message Queuing Protocol) protocol."
"Deployment Architecture for Energy and Resource Efficient Cyber Physical Systems","https://scispace.com/paper/deployment-architecture-for-energy-and-resource-efficient-5396wax93b","2017","Book Chapter","International Conference on Advances in Production Management Systems","Claudio Palasciano
Bastian Thiede
Marco Taisch
Christoph Herrmann","10.1007/978-3-319-66923-6_19","https://scispace.com/pdf/deployment-architecture-for-energy-and-resource-efficient-5396wax93b.pdf","Energy and resource efficient manufacturing has become one of the most relevant research topics, for the increasing attention to sustainable development at planetary level. This work focuses on deployment of a Cyber Physical Production System in a laboratory setting in Technical University of Braunschweig, Institut fur Werkzeugmaschinen und Fertigungstechnik (TUBs IWF), with the aim of improving production systems operation in terms of efficiency in resource usage, taking inspiration by the work developed in Politecnico di Milano by some of the authors of this article, focusing on a production system energy aware control, explored so far by means of simulation experiments.","This work focuses on deployment of a Cyber Physical Production System in a laboratory setting in Technical University of Braunschweig, Institut fur Werkzeugmaschinen und Fertigungstechnik (TUBs IWF), with the aim of improving production systems operation in terms of efficiency in resource usage."
